transaction_operation_id,transaction_id,status,type,acquirer_name,transaction_operation_created_at
to_9494e5aaeb3fdb6cd469,e54ff0ab72,success,refund,acquirer_3,2020-09-23 12:25:09.862000000
to_bc76092f7c34841bee2a,e54ff0ab72,success,capture,acquirer_3,2020-09-09 17:55:22.730000000
to_f9a15cfdf7ef8b271124,e54ff0ab72,success,capture,pagarme,2020-09-09 17:55:22.689000000
to_73eecdc1b781a981255e,e54ff0ab72,success,authorize,acquirer_3,2020-09-09 17:55:21.636000000
to_bed91aa4250369b4a7eb,e54ff0ab72,success,authorize,pagarme,2020-09-09 17:55:21.465000000
to_3dfaebb946ffe4518cb9,e83ff8691a,success,conciliate,pagarme,2020-09-10 08:21:53.577000000
to_0c9998848d2bd922eac0,e83ff8691a,success,issue,pagarme,2020-09-09 17:58:25.821000000
to_86b2ff8ec571123e9809,e83ff8691a,success,authorize,pagarme,2020-09-09 17:58:25.828000000
to_8f1c8fecd1bf3aadbec0,a6f2718a6d,success,issue,pagarme,2020-09-09 17:59:25.101000000
to_4f279eb837455497fc34,a6f2718a6d,success,authorize,pagarme,2020-09-09 17:59:25.105000000
to_ae32de35153d72736dd0,ff67ca7338,success,capture,acquirer_3,2020-09-09 17:55:22.719000000
to_1bfc7c526656d0689080,ff67ca7338,success,capture,pagarme,2020-09-09 17:55:21.919000000
to_100910d25c83a51d0068,ff67ca7338,success,authorize,pagarme,2020-09-09 17:55:21.926000000
to_b78e3e46dd548e6e9bdc,ff67ca7338,success,authorize,acquirer_3,2020-09-09 17:55:22.056000000
to_9898851332d4c60d7ecd,c76dc7a3d8,success,capture,acquirer_3,2020-09-09 17:57:28.494000000
to_86a33352ebc17f58cb8d,c76dc7a3d8,success,capture,pagarme,2020-09-09 17:57:27.748000000
to_5b2bb262cede67cde7a9,c76dc7a3d8,success,authorize,pagarme,2020-09-09 17:57:27.757000000
to_73ad7478b7be91022a7a,c76dc7a3d8,success,authorize,acquirer_3,2020-09-09 17:57:27.884000000
to_213daec10654ed934cd9,3ff60a92a2,success,conciliate,pagarme,2020-09-10 08:07:23.309000000
to_cf5222de2e2421837086,3ff60a92a2,success,issue,pagarme,2020-09-09 17:56:08.211000000
to_e4dd5b9025bd35d882da,3ff60a92a2,success,authorize,pagarme,2020-09-09 17:56:08.217000000
to_82aa2e408e1ceea4e06b,e0e46ba32b,success,conciliate,pagarme,2020-09-11 06:22:45.635000000
to_15b7ce20a15d415f0f86,e0e46ba32b,success,issue,pagarme,2020-09-09 17:55:10.525000000
to_c123d3f92d2580d7acd6,e0e46ba32b,success,authorize,pagarme,2020-09-09 17:55:10.532000000
to_789eef8288c515f35b05,eccf639375,success,conciliate,pagarme,2020-09-10 08:07:19.460000000
to_5777143e756d1dfd4109,eccf639375,success,issue,pagarme,2020-09-09 17:58:52.261000000
to_bfe3c752dee26203792d,eccf639375,success,authorize,pagarme,2020-09-09 17:58:52.270000000
to_de81d5b594566f601d77,3a6f535115,success,capture,acquirer_3,2020-09-09 17:56:35.481000000
to_06c03fa65c6e7b4c185a,3a6f535115,success,capture,pagarme,2020-09-09 17:56:34.387000000
to_5515ee6ce9fcf6931f43,3a6f535115,success,authorize,pagarme,2020-09-09 17:56:34.406000000
to_c5af6e78357f83815139,3a6f535115,success,authorize,acquirer_3,2020-09-09 17:56:34.538000000
to_5e55f7cd8086d4fd7a08,088fd788c3,success,capture,acquirer_3,2020-09-09 17:57:43.064000000
to_d19a2cc0620e271df9eb,088fd788c3,success,capture,pagarme,2020-09-09 17:57:43.030000000
to_9799bb6c5b98557f4199,088fd788c3,success,authorize,acquirer_3,2020-09-09 17:57:31.343000000
to_d286cad2347eb755cf89,088fd788c3,success,authorize,pagarme,2020-09-09 17:57:31.235000000
to_2057b3561998f8eb6e11,ffa5688295,success,issue,pagarme,2020-09-09 17:59:59.223000000
to_e867e68f21771171650c,ffa5688295,success,authorize,pagarme,2020-09-09 17:59:59.230000000
to_a8c86ab27176b93d5384,b6ff508ac3,success,capture,acquirer_3,2020-09-09 17:55:17.501000000
to_d08effa43f29647a32b0,b6ff508ac3,success,capture,pagarme,2020-09-09 17:55:16.874000000
to_1bd90c8865de6ab73caa,b6ff508ac3,success,authorize,pagarme,2020-09-09 17:55:16.883000000
to_01ede2aa6926399fccf9,b6ff508ac3,success,authorize,acquirer_3,2020-09-09 17:55:17.002000000
to_3f8df6a917470cc7a1a8,c5997b611a,success,capture,acquirer_3,2020-09-09 16:21:52.982000000
to_a0e43c124549bb127d0c,c5997b611a,success,capture,pagarme,2020-09-09 16:21:52.316000000
to_033f4b2e328fc3e74825,c5997b611a,success,authorize,pagarme,2020-09-09 16:21:52.322000000
to_17e803ee57c26336c91a,c5997b611a,success,authorize,acquirer_3,2020-09-09 16:21:52.442000000
to_5391c7d2936dae57730c,c603a9f142,success,refund,pagarme,2020-09-16 17:20:09.457000000
to_af41090064443b58bdbe,c603a9f142,success,refund,acquirer_3,2020-09-16 17:20:09.572000000
to_63e202c073e50210f01d,c603a9f142,success,capture,acquirer_3,2020-09-09 17:46:31.284000000
to_0531d664f15a38ec0a80,c603a9f142,success,capture,pagarme,2020-09-09 17:46:31.243000000
to_8b4f8a52b169433bd0aa,c603a9f142,success,authorize,acquirer_3,2020-09-09 17:46:21.080000000
to_a7c628e2ab662bf6e8f0,c603a9f142,success,authorize,pagarme,2020-09-09 17:46:20.973000000
to_1896bd70ee26ca11b61d,75458fe8b8,success,conciliate,pagarme,2020-09-10 08:22:01.288000000
to_b40c379de6a5abdf55bb,75458fe8b8,success,issue,pagarme,2020-09-09 17:54:33.153000000
to_fe03ce8960a39a50b9c2,75458fe8b8,success,authorize,pagarme,2020-09-09 17:54:33.159000000
to_dfdac7bfe076e19824ae,ff42ef7d97,success,capture,acquirer_3,2020-09-09 17:55:41.793000000
to_340f50bb40465c569dc2,ff42ef7d97,success,capture,pagarme,2020-09-09 17:55:41.762000000
to_4ea90be8a0d943764e6d,ff42ef7d97,success,authorize,pagarme,2020-09-09 17:55:30.431000000
to_bd1edb6ed249fc8d75b4,ff42ef7d97,success,authorize,acquirer_3,2020-09-09 17:55:30.534000000
to_fe7f9c598358b43d540f,3f5b500ade,success,refund,pagarme,2020-09-29 18:20:04.997000000
to_bd082c8c116721d8990a,3f5b500ade,success,conciliate,pagarme,2020-09-11 06:22:50.894000000
to_af9c7b7d8240b52bdb6e,3f5b500ade,success,issue,pagarme,2020-09-09 17:44:50.521000000
to_8df9695accdb003c0be1,3f5b500ade,success,authorize,pagarme,2020-09-09 17:44:50.526000000
to_cf0b429c64c571671368,a9e34ca615,success,conciliate,pagarme,2020-09-10 08:21:59.624000000
to_2ad41ddb750ab77380e8,a9e34ca615,success,issue,pagarme,2020-09-09 17:55:29.785000000
to_5c241817fad9eda11705,a9e34ca615,success,authorize,pagarme,2020-09-09 17:55:29.791000000
to_4106559749c31ba90f90,4fd3e0c87b,success,capture,acquirer_3,2020-09-09 17:59:44.533000000
to_67608a1764c3e9e13794,4fd3e0c87b,success,capture,pagarme,2020-09-09 17:59:44.441000000
to_7ac399bac50aded8c82a,4fd3e0c87b,success,authorize,acquirer_3,2020-09-09 17:59:34.250000000
to_92627d7bc72540e1b1ae,4fd3e0c87b,success,authorize,pagarme,2020-09-09 17:59:34.142000000
to_077be94507012c88f73c,bff2b9e29b,success,capture,acquirer_3,2020-09-09 17:55:55.987000000
to_19b864322359c86b3e50,bff2b9e29b,success,capture,pagarme,2020-09-09 17:55:55.103000000
to_0721add772cb07729325,bff2b9e29b,success,authorize,pagarme,2020-09-09 17:55:55.109000000
to_589c6c93f5ab1be8ea17,bff2b9e29b,success,authorize,acquirer_3,2020-09-09 17:55:55.246000000
to_25bf9b5c328739f12b10,4e595eccef,success,capture,acquirer_3,2020-09-09 17:56:01.862000000
to_dcc4a3e9159b50489a69,4e595eccef,success,capture,pagarme,2020-09-09 17:56:01.826000000
to_4e9b04aa5b38c997a289,4e595eccef,success,authorize,acquirer_3,2020-09-09 17:55:32.645000000
to_fe26117fd20a11e9fd0d,4e595eccef,success,authorize,pagarme,2020-09-09 17:55:32.523000000
to_30c0eb3e151741046bba,cba9806e96,success,conciliate,pagarme,2020-09-16 07:02:45.628000000
to_94d2c8e35b42da7ca563,cba9806e96,success,issue,pagarme,2020-09-09 17:57:13.407000000
to_1c699b0219707678a060,cba9806e96,success,authorize,pagarme,2020-09-09 17:57:07.270000000
to_10d53a15aa6c62b0a229,be2db935a9,success,capture,acquirer_3,2020-09-09 17:57:15.178000000
to_72288d77641e64106aa6,be2db935a9,success,capture,pagarme,2020-09-09 17:57:15.155000000
to_bb95f7079f1eb74e0000,be2db935a9,success,authorize,acquirer_3,2020-09-09 17:57:07.322000000
to_fd0fdca67de46f4234a1,be2db935a9,success,authorize,pagarme,2020-09-09 17:57:07.222000000
to_7e6bb84acf7696d2d4db,c0cb6760a2,success,capture,acquirer_3,2020-09-09 12:59:24.989000000
to_3c3ee99b304df882cd51,c0cb6760a2,success,capture,pagarme,2020-09-09 12:59:23.794000000
to_309c23ed32d4235a65d0,c0cb6760a2,success,authorize,pagarme,2020-09-09 12:59:23.801000000
to_b46cd0c1b3b4e50aedce,c0cb6760a2,success,authorize,acquirer_3,2020-09-09 12:59:23.912000000
to_b762037e8c4b3ea112e9,b4d80813d8,success,capture,acquirer_3,2020-09-09 17:56:06.170000000
to_269af8991d3f4a336bde,b4d80813d8,success,capture,pagarme,2020-09-09 17:56:06.130000000
to_9e2770aef941a1e637ec,b4d80813d8,success,authorize,acquirer_3,2020-09-09 17:56:04.965000000
to_46708e97ef21250096e2,b4d80813d8,success,authorize,pagarme,2020-09-09 17:56:04.765000000
to_ec39057a7c6780fac58f,eba7019ffa,success,capture,acquirer_3,2020-09-09 17:59:16.060000000
to_67d3e18998c636253df5,eba7019ffa,success,capture,pagarme,2020-09-09 17:59:15.249000000
to_a68f80d24ad277141856,eba7019ffa,success,authorize,pagarme,2020-09-09 17:59:15.257000000
to_62e72bc8eedfb9ce5ee9,eba7019ffa,success,authorize,acquirer_3,2020-09-09 17:59:15.367000000
to_13c3b1db42eba1ecbde1,9009ab2a35,success,capture,acquirer_3,2020-09-09 12:28:41.902000000
to_e188e3d8cf42f1394d0e,9009ab2a35,success,capture,pagarme,2020-09-09 12:28:41.288000000
to_1226439669cd0afa7d6f,9009ab2a35,success,authorize,pagarme,2020-09-09 12:28:41.296000000
to_02ac949e5b26129b83d6,9009ab2a35,success,authorize,acquirer_3,2020-09-09 12:28:41.395000000
to_9093f5f56038ea6feafa,e248abe6c4,success,capture,acquirer_3,2020-09-09 17:57:25.297000000
to_b00f6cf933f065ecf3e4,e248abe6c4,success,capture,pagarme,2020-09-09 17:57:25.235000000
to_a4947659d088c76a83f3,e248abe6c4,success,authorize,acquirer_3,2020-09-09 17:57:20.439000000
to_4fcce763c3531faeefe8,e248abe6c4,success,authorize,pagarme,2020-09-09 17:57:20.318000000
to_c6844c1d76c5b03e251e,b4718114be,success,capture,acquirer_3,2020-09-09 19:32:02.104000000
to_076cb5511f27f8dcd25f,b4718114be,success,capture,pagarme,2020-09-09 19:32:02.052000000
to_01d7202b182b1452d8cb,b4718114be,success,authorize,acquirer_3,2020-09-09 17:58:01.820000000
to_1bfde4b70e26b36f6bc8,b4718114be,success,authorize,pagarme,2020-09-09 17:58:01.724000000
to_539e4e5d1c1629d6c4e4,b826d2dfde,success,conciliate,pagarme,2020-09-10 08:07:23.504000000
to_50598be30dcd7c64a35e,b826d2dfde,success,issue,pagarme,2020-09-09 17:55:50.580000000
to_96347294d8f197678d2f,b826d2dfde,success,authorize,pagarme,2020-09-09 17:55:50.599000000
to_70a324f89b7a32a71025,fe92264503,success,conciliate,pagarme,2020-09-10 08:07:21.268000000
to_529474e25b0ddc7d9db7,fe92264503,success,issue,pagarme,2020-09-09 17:57:42.364000000
to_38fa3b9742c7fe7be3f7,fe92264503,success,authorize,pagarme,2020-09-09 17:57:42.374000000
to_06907474f8994a33a587,04da3feaa7,success,capture,acquirer_3,2020-09-09 17:54:53.667000000
to_044614cc079d17e2d341,04da3feaa7,success,capture,pagarme,2020-09-09 17:54:53.350000000
to_5f9837aaab76f117bebb,04da3feaa7,success,authorize,pagarme,2020-09-09 17:54:43.123000000
to_a4b72417e14ac9c5ddfc,04da3feaa7,success,authorize,acquirer_3,2020-09-09 17:54:43.232000000
to_fae8f754bcc7634851db,6f7dbbf386,success,capture,acquirer_3,2020-09-09 17:57:24.494000000
to_9e19e020b3d6cfb225b2,6f7dbbf386,success,capture,pagarme,2020-09-09 17:57:24.455000000
to_46e12124c247c5a4d458,6f7dbbf386,success,authorize,acquirer_3,2020-09-09 17:57:23.120000000
to_55de5fc025ec26dda412,6f7dbbf386,success,authorize,pagarme,2020-09-09 17:57:22.985000000
to_9dac3bedd2e23bf9c050,76b9a674f3,dropped,capture,,2020-09-09 17:59:51.082000000
to_4008874bee01f19461e8,76b9a674f3,failed,authorize,pagarme,2020-09-09 17:59:51.092000000
to_4f92f9d794eb906333d0,76b9a674f3,failed,authorize,acquirer_1,2020-09-09 17:59:51.782000000
to_17fa6ade93afa7527545,76b9a674f3,failed,authorize,acquirer_3,2020-09-09 17:59:51.202000000
to_c64f6633110f5fb8ee76,e87f6e4d57,success,conciliate,pagarme,2020-09-11 06:22:42.967000000
to_8a92d385da22c0a1b85e,e87f6e4d57,success,issue,pagarme,2020-09-09 17:57:50.788000000
to_7493d9b9533b40bef81a,e87f6e4d57,success,authorize,pagarme,2020-09-09 17:57:43.013000000
to_302a853a214eeb6fd41e,7f0ec870bd,success,capture,acquirer_1,2020-09-09 17:58:15.793000000
to_3533db40c8ec8bb76fa1,7f0ec870bd,success,capture,pagarme,2020-09-09 17:58:15.755000000
to_08ac6e0680e90dc83b0c,7f0ec870bd,success,authorize,acquirer_1,2020-09-09 17:58:14.300000000
to_d5983a712a70e012e15d,7f0ec870bd,success,authorize,pagarme,2020-09-09 17:58:14.142000000
to_66bf9e41eac1d0f1b4ae,dcc417423b,success,capture,acquirer_3,2020-09-09 17:55:59.391000000
to_8dda807b9f24a434feb6,dcc417423b,success,capture,pagarme,2020-09-09 17:55:57.737000000
to_a87aca8dc9b7a8a73302,dcc417423b,success,authorize,pagarme,2020-09-09 17:55:57.744000000
to_2e2dd7f172a6017d32eb,dcc417423b,success,authorize,acquirer_3,2020-09-09 17:55:57.840000000
to_b4725106cbe92e2bc741,b96f6c3a94,success,conciliate,pagarme,2020-09-11 06:22:43.695000000
to_702520c6549516fa07f3,b96f6c3a94,success,issue,pagarme,2020-09-09 17:57:13.167000000
to_83f6142c79756b114eac,b96f6c3a94,success,authorize,pagarme,2020-09-09 17:57:13.174000000
to_575ab3dd248449579af6,60000e39bb,success,conciliate,pagarme,2020-09-10 08:21:58.404000000
to_522c229c38ab8c72ba31,60000e39bb,success,issue,pagarme,2020-09-09 17:56:23.064000000
to_835622f69f7802cc9d9d,60000e39bb,success,authorize,pagarme,2020-09-09 17:56:23.071000000
to_d635069b5d3a94932606,0396c9f43d,success,conciliate,pagarme,2020-09-10 08:07:22.767000000
to_de1d0dab65a5fa454d1d,0396c9f43d,success,issue,pagarme,2020-09-09 17:56:44.140000000
to_d1eae5b5ed3a38fdb287,0396c9f43d,success,authorize,pagarme,2020-09-09 17:56:44.145000000
to_3f4d57dd180607506818,41fadfebaf,failed,refund,pagarme,2020-09-17 14:48:59.593000000
to_05d23b948cec0a5b8fba,41fadfebaf,failed,refund,pagarme,2020-09-15 18:01:30.682000000
to_35bf427223088c5b7a61,41fadfebaf,success,conciliate,pagarme,2020-09-10 08:21:52.756000000
to_76695e7d67f4dc2107e5,41fadfebaf,success,issue,pagarme,2020-09-09 17:59:00.240000000
to_903c3bac0e84dc3b0fe5,41fadfebaf,success,authorize,pagarme,2020-09-09 17:59:00.247000000
to_eea31d22bc8d7bb92815,dd4ee2535f,success,conciliate,pagarme,2020-09-10 08:21:52.733000000
to_ba018115c37b5aa56b3e,dd4ee2535f,success,issue,pagarme,2020-09-09 17:59:01.102000000
to_5d6632374095681eeec0,dd4ee2535f,success,authorize,pagarme,2020-09-09 17:59:01.109000000
to_293177ff45ee6100e85d,a17f976e5c,success,capture,acquirer_2,2020-09-09 19:28:05.111000000
to_952f5ebf821c3c79f097,a17f976e5c,success,authorize,acquirer_2,2020-09-09 17:57:06.367000000
to_af74d9eae120b8481c2c,150d70fba1,success,conciliate,pagarme,2020-09-12 07:04:48.432000000
to_44100a75bff3d68de3f1,150d70fba1,success,issue,pagarme,2020-09-09 17:57:18.769000000
to_b77cf2fbe42844bc5f36,150d70fba1,success,authorize,pagarme,2020-09-09 17:57:18.773000000
to_ea26f00fce70e167dd0f,2ca2f4b7a2,dropped,capture,,2020-09-09 17:58:21.639000000
to_c71df30daf59ab288709,2ca2f4b7a2,failed,authorize,pagarme,2020-09-09 17:58:21.648000000
to_4df5fa783789aef9d9de,2ca2f4b7a2,failed,authorize,acquirer_1,2020-09-09 17:58:22.531000000
to_a66fdb7575d5744807a5,2ca2f4b7a2,failed,authorize,acquirer_3,2020-09-09 17:58:21.763000000
to_3ab1ac7f4c2433e521cd,03e6916617,success,conciliate,pagarme,2020-09-12 06:02:48.438000000
to_5ed0c8d9d81b3f442eff,03e6916617,success,issue,pagarme,2020-09-09 17:54:55.926000000
to_be76a5bc596b7014396f,03e6916617,success,authorize,pagarme,2020-09-09 17:54:55.933000000
to_6a4562b01771b67ab131,ecb37e6d53,success,capture,acquirer_3,2020-09-09 17:59:05.393000000
to_50c9a909135e34edf575,ecb37e6d53,success,capture,pagarme,2020-09-09 17:59:04.263000000
to_dd621d05b074a02ab803,ecb37e6d53,success,authorize,pagarme,2020-09-09 17:59:04.276000000
to_8af4445e3f0e0b93eb9d,ecb37e6d53,success,authorize,acquirer_3,2020-09-09 17:59:04.369000000
to_10c8aa140209bccf3ae1,c71700acad,success,capture,acquirer_3,2020-09-09 17:55:50.482000000
to_784062b6056b84b59623,c71700acad,success,capture,pagarme,2020-09-09 17:55:49.277000000
to_0329de535ec42d9e9c62,c71700acad,success,authorize,pagarme,2020-09-09 17:55:49.295000000
to_16ed5084e1ed1a1e9b05,c71700acad,success,authorize,acquirer_3,2020-09-09 17:55:49.405000000
to_d7db4ddb33af94a75228,256f01ea19,success,capture,acquirer_3,2020-09-09 17:56:44.401000000
to_6f1a58b67ba8bc5cee87,256f01ea19,success,capture,pagarme,2020-09-09 17:56:43.129000000
to_ab4c48c44daebd9fdf64,256f01ea19,success,authorize,pagarme,2020-09-09 17:56:43.154000000
to_92927697851ba4c1b271,256f01ea19,success,authorize,acquirer_3,2020-09-09 17:56:43.268000000
to_b066e94dda9879edf682,21c158cc1e,success,conciliate,pagarme,2020-09-10 08:21:52.509000000
to_a5d3849e3928889792c2,21c158cc1e,success,issue,pagarme,2020-09-09 17:59:06.282000000
to_9687402f2b21065e1f9a,21c158cc1e,success,authorize,pagarme,2020-09-09 17:59:06.290000000
