payable_id,transaction_id,payable_created_at,company_id,amount,fee,installment,type,recipient_id,payment_method
ff6ac0136b9d,bbe13c364b,2020-09-09 17:56:09.696000,6a612e4ad6d8ef3,11234,328,5,credit,re_0e507144a20db9a,credit_card
8c72f9da6d72,620d6d9a11,2020-09-09 17:59:57.377000,da731b508c77c87,14990,412,2,credit,re_d11236cfc1f63a3,credit_card
fc4ac2c40359,620d6d9a11,2020-09-09 17:59:57.377000,da731b508c77c87,14990,412,1,credit,re_d11236cfc1f63a3,credit_card
cf2cd92c9841,c7a31ddf2a,2020-09-09 17:58:40.274000,cca9aaa0189bdf3,270,24,1,credit,re_41fc295a9115bac,credit_card
b1bc18e5c99d,c7a31ddf2a,2020-09-09 17:58:40.274000,cca9aaa0189bdf3,630,0,1,credit,re_932d7329b335d42,credit_card
df660894bcc4,e248abe6c4,2020-09-09 17:57:25.367000,10c33d344710b96,3960,101,1,credit,re_5124dfe36e8d301,credit_card
71b6b19a1377,e248abe6c4,2020-09-09 17:57:25.367000,10c33d344710b96,3960,101,2,credit,re_5124dfe36e8d301,credit_card
e7a7fd65160c,38b79469c0,2020-09-10 08:22:14.945000,af12f3989642951,9212,380,,credit,re_a230c788e9cda60,boleto
10a8f0e7ce3f,38b79469c0,2020-09-10 19:32:59.089000,af12f3989642951,-9212,0,,refund,re_a230c788e9cda60,boleto
72e1cfa5528d,56c5c93b7e,2020-09-09 14:43:59.740000,707f3fa3d265b9e,2946,0,1,credit,re_81a6875b1d13caf,debit_card
a799026718a3,56c5c93b7e,2020-09-09 14:43:59.740000,707f3fa3d265b9e,103,99,1,credit,re_d1913fed79910b2,debit_card
8532b348153d,56c5c93b7e,2020-09-09 14:43:59.740000,707f3fa3d265b9e,4,0,1,credit,re_4b501c2152920ed,debit_card
4d9f8360f0f0,56c5c93b7e,2020-09-09 14:43:59.740000,707f3fa3d265b9e,2947,0,1,credit,re_9fbda0aa15bb5cf,debit_card
2a5c9a15ebb9,d582e47628,2020-09-09 17:51:32.509000,145e0cf06536e75,5664,178,1,credit,re_d1084d9ad3ab2e1,credit_card
ab550d5f6e2b,d582e47628,2020-09-09 19:02:27.349000,145e0cf06536e75,-5664,-178,,refund,re_d1084d9ad3ab2e1,credit_card
4f28a1b86396,df66967ddb,2020-09-18 07:07:25.934000,b79e24e273662d6,16800,370,,credit,re_f8484401e7daa45,boleto
71f199bb565b,bbeca79583,2020-09-09 17:59:08.745000,da83a78d27ace3c,18443,266,1,credit,re_56574ed548a54c5,credit_card
78c3377b0a42,bbeca79583,2020-09-09 17:59:08.745000,da83a78d27ace3c,18445,268,4,credit,re_56574ed548a54c5,credit_card
17e58509b606,bbeca79583,2020-09-09 17:59:08.745000,da83a78d27ace3c,18445,268,2,credit,re_56574ed548a54c5,credit_card
c92912213e82,bbeca79583,2020-09-09 17:59:08.745000,da83a78d27ace3c,18445,268,3,credit,re_56574ed548a54c5,credit_card
3e48f8c11b41,7951fd0cb4,2020-09-10 08:21:56.592000,ae8404dab1e7e37,16150,290,,credit,re_d63805961dfa0a0,boleto
506255f9b5ff,e991daa427,2020-09-10 08:21:53.743000,e8c413bab88257c,5082,280,,credit,re_086d58a0b81ed5f,boleto
a9363d564802,b304a5a81e,2020-09-09 17:58:37.394000,fa8f908c2a0a010,0,0,1,credit,re_efa36bcbd23feb2,credit_card
3dc73b5ee137,b304a5a81e,2020-09-09 17:58:37.394000,fa8f908c2a0a010,500,12,1,credit,re_9b3877d46c744d0,credit_card
ef05445ad984,b304a5a81e,2020-09-09 17:58:37.394000,fa8f908c2a0a010,4500,104,1,credit,re_77a59ec83761688,credit_card
f692fcde1095,0edddd0eb5,2020-09-09 17:59:37.943000,550097412be53a9,30000,768,1,credit,re_5232c72162ca14a,credit_card
648958f3d956,749ae8fba6,2020-09-15 11:44:50.616000,da83a78d27ace3c,-9900,-104,,refund,re_670e9c820505870,credit_card
53bc2c2725b8,749ae8fba6,2020-09-09 17:41:06.430000,da83a78d27ace3c,9900,104,1,credit,re_670e9c820505870,credit_card
a7fc8ccd0977,e788489689,2020-09-09 17:58:57.519000,3aeacb6ab392f83,36426,911,1,credit,re_bf21d04c183d659,credit_card
24c87ff6f61e,d239f77abd,2020-09-10 08:21:55.735000,2cdf11b376ddc3b,5466,205,,credit,re_f6c1078065b4573,boleto
1231824d8224,cc781ed8b5,2020-09-09 17:57:36.186000,7944be796d29841,5085,123,1,credit,re_e5e0728d7c1aa13,credit_card
23645a000dfd,cc781ed8b5,2020-09-09 17:57:36.187000,7944be796d29841,5091,122,3,credit,re_e5e0728d7c1aa13,credit_card
a8b33c1904e4,cc781ed8b5,2020-09-09 17:57:36.187000,7944be796d29841,5091,122,2,credit,re_e5e0728d7c1aa13,credit_card
b8c5860e7a51,cc781ed8b5,2020-09-09 17:57:36.187000,7944be796d29841,5091,122,4,credit,re_e5e0728d7c1aa13,credit_card
78fbec35ae62,cc781ed8b5,2020-09-09 17:57:36.187000,7944be796d29841,5091,122,5,credit,re_e5e0728d7c1aa13,credit_card
05d82a8a3d0f,fc60baddb5,2020-09-09 17:56:30.966000,7b2f77ee5fc3730,19349,562,1,credit,re_5e2a3d02ce6a0b6,credit_card
fb8548100382,fc60baddb5,2020-09-09 17:56:30.966000,7b2f77ee5fc3730,19351,561,2,credit,re_5e2a3d02ce6a0b6,credit_card
d96838f0a3a5,fc60baddb5,2020-09-09 17:56:30.967000,7b2f77ee5fc3730,19351,561,4,credit,re_5e2a3d02ce6a0b6,credit_card
17dcb9fc4160,fc60baddb5,2020-09-09 17:56:30.966000,7b2f77ee5fc3730,19351,561,3,credit,re_5e2a3d02ce6a0b6,credit_card
34a377d90062,0c024ccc91,2020-09-09 17:57:32.109000,68bd0171c5b6a4b,990,32,3,credit,re_8cb6df3bffabf99,credit_card
2f414550ae0c,0c024ccc91,2020-09-09 17:57:32.110000,68bd0171c5b6a4b,990,32,7,credit,re_8cb6df3bffabf99,credit_card
fa93fbdf3828,0c024ccc91,2020-09-09 17:57:32.111000,68bd0171c5b6a4b,990,32,11,credit,re_8cb6df3bffabf99,credit_card
48ed5a81c5e6,0c024ccc91,2020-09-09 17:57:32.110000,68bd0171c5b6a4b,990,32,6,credit,re_8cb6df3bffabf99,credit_card
aeb211411bc1,0c024ccc91,2020-09-09 17:57:32.111000,68bd0171c5b6a4b,990,32,12,credit,re_8cb6df3bffabf99,credit_card
12c0a9d02df9,0c024ccc91,2020-09-09 17:57:32.111000,68bd0171c5b6a4b,990,32,10,credit,re_8cb6df3bffabf99,credit_card
b880ef9dfbdd,0c024ccc91,2020-09-09 17:57:32.110000,68bd0171c5b6a4b,990,32,5,credit,re_8cb6df3bffabf99,credit_card
2f3c75b5b0b3,0c024ccc91,2020-09-09 17:57:32.110000,68bd0171c5b6a4b,990,32,8,credit,re_8cb6df3bffabf99,credit_card
19f48dfc4d0c,0c024ccc91,2020-09-09 17:57:32.110000,68bd0171c5b6a4b,990,32,4,credit,re_8cb6df3bffabf99,credit_card
20b6e85d9eca,0c024ccc91,2020-09-09 17:57:32.109000,68bd0171c5b6a4b,990,32,2,credit,re_8cb6df3bffabf99,credit_card
108f0dd1663e,0c024ccc91,2020-09-09 17:57:32.110000,68bd0171c5b6a4b,990,32,9,credit,re_8cb6df3bffabf99,credit_card
a7ba12972132,0c024ccc91,2020-09-09 17:57:32.109000,68bd0171c5b6a4b,990,22,1,credit,re_8cb6df3bffabf99,credit_card
4fb92370d80f,0c024ccc91,2020-09-15 19:25:49.448000,68bd0171c5b6a4b,-11880,-374,,refund,re_8cb6df3bffabf99,credit_card
058c2cd178af,6d2ab60bf8,2020-09-09 17:45:28.297000,aa9b366c101f745,6000,227,1,credit,re_3b1b54cbdb987b9,credit_card
34d17e72af5b,6d2ab60bf8,2020-09-09 18:15:07.450000,aa9b366c101f745,-6000,-227,,refund,re_3b1b54cbdb987b9,credit_card
8dadf493d4a5,703cb3627a,2020-09-11 06:03:54.206000,fc0f30121c6ca42,8780,150,,credit,re_afa66597e73a8c5,boleto
6645d9d6c7dd,da30c4197f,2020-09-09 17:58:07.350000,d122599d9246dfd,3573,107,1,credit,re_fb0c1cbe6884e9f,credit_card
424dc7f94ec6,da30c4197f,2020-09-09 17:58:07.350000,d122599d9246dfd,3572,107,2,credit,re_fb0c1cbe6884e9f,credit_card
68059b8d7d69,75458fe8b8,2020-09-10 08:22:01.129000,dd6324360be8a57,17057,159,,credit,re_a5785bfefe58a1b,boleto
9b3616f9440a,1e80a672f0,2020-09-09 17:58:38.620000,1cf5eeff8b29130,62118,2041,1,credit,re_36b04e445acfbf4,credit_card
e19b2844aa7e,1e80a672f0,2020-09-09 17:58:38.621000,1cf5eeff8b29130,62118,2045,3,credit,re_36b04e445acfbf4,credit_card
dbc12dae622a,1e80a672f0,2020-09-09 17:58:38.620000,1cf5eeff8b29130,62118,2045,2,credit,re_36b04e445acfbf4,credit_card
228e916436a5,07012c8e9b,2020-09-09 17:59:19.304000,a0faf1645e4be26,2259,80,1,credit,re_de83d7743894b86,credit_card
210c5d0a1ed3,07012c8e9b,2020-09-09 17:59:19.304000,a0faf1645e4be26,2259,79,5,credit,re_de83d7743894b86,credit_card
46d1529a22b1,07012c8e9b,2020-09-09 17:59:19.305000,a0faf1645e4be26,2259,79,6,credit,re_de83d7743894b86,credit_card
5202c302cdb5,07012c8e9b,2020-09-09 17:59:19.304000,a0faf1645e4be26,2259,79,4,credit,re_de83d7743894b86,credit_card
c7cf36e67e3e,07012c8e9b,2020-09-09 17:59:19.304000,a0faf1645e4be26,2259,79,2,credit,re_de83d7743894b86,credit_card
59f053253d50,07012c8e9b,2020-09-09 17:59:19.304000,a0faf1645e4be26,2259,79,3,credit,re_de83d7743894b86,credit_card
e753911a4414,07012c8e9b,2020-09-09 17:59:19.305000,a0faf1645e4be26,2259,79,7,credit,re_de83d7743894b86,credit_card
51c11a0bafb1,07012c8e9b,2020-09-09 17:59:19.305000,a0faf1645e4be26,2259,79,8,credit,re_de83d7743894b86,credit_card
39228a316cac,07012c8e9b,2020-09-09 17:59:19.305000,a0faf1645e4be26,2259,79,9,credit,re_de83d7743894b86,credit_card
8103b9521ee7,07012c8e9b,2020-09-09 17:59:19.305000,a0faf1645e4be26,2259,79,10,credit,re_de83d7743894b86,credit_card
ca92b48d406a,e2720ccacc,2020-09-09 17:56:30.773000,52c8a05a7b5c22c,2040,72,1,credit,re_d7aefeeb542773e,credit_card
5bfb3e8f65b1,e2720ccacc,2020-09-09 17:56:30.773000,52c8a05a7b5c22c,2040,71,2,credit,re_d7aefeeb542773e,credit_card
4077493306ef,90ca6b44fa,2020-09-09 17:54:37.886000,c073c11c93a896b,10000,180,1,credit,re_f5d18150e930390,credit_card
afcd32d04447,3254636ae6,2020-09-09 17:56:23.648000,5702629caa01e5a,5034,133,5,credit,re_356d288b31a6f12,credit_card
5ea44bda901a,3254636ae6,2020-09-09 17:56:23.648000,5702629caa01e5a,5034,133,4,credit,re_356d288b31a6f12,credit_card
528fd472149e,3254636ae6,2020-09-09 17:56:23.648000,5702629caa01e5a,5034,133,3,credit,re_356d288b31a6f12,credit_card
62b90f7fdff9,3254636ae6,2020-09-09 17:56:23.648000,5702629caa01e5a,5035,129,1,credit,re_356d288b31a6f12,credit_card
b1af32b161e4,3254636ae6,2020-09-09 17:56:23.648000,5702629caa01e5a,5034,133,6,credit,re_356d288b31a6f12,credit_card
274da2304af3,3254636ae6,2020-09-09 17:56:23.648000,5702629caa01e5a,5034,133,2,credit,re_356d288b31a6f12,credit_card
8778a4387bd1,2f4641f130,2020-09-09 17:56:38.178000,d989f5c5540226b,12586,301,1,credit,re_57726bcf8a6b4be,credit_card
37f1942496a3,d634c39d85,2020-09-09 17:58:41.490000,6d8a8ede1b9118c,54533,1909,1,credit,re_add3c8521fe5fdb,credit_card
114803e96a31,e83ff8691a,2020-09-10 08:21:53.423000,e39a04354b47c1a,4831,380,,credit,re_fd9f144ac997f84,boleto
94ef9597c6b5,428cfcb94d,2020-09-17 08:06:31.730000,e711dd9e8d9d95a,9990,380,,credit,re_85e148d268c95c8,boleto
6c3a68857d57,e0aec60d89,2020-09-09 17:57:12.608000,094dd0ba5dcf146,9359,328,1,credit,re_da95b1e32761cd6,credit_card
6a113de6344c,e0aec60d89,2020-09-09 17:57:12.608000,094dd0ba5dcf146,9359,327,2,credit,re_da95b1e32761cd6,credit_card
bd6e96a27aeb,3a6f535115,2020-09-09 17:56:36.577000,489b07887803197,10000,379,1,credit,re_f451b947fba0e31,credit_card
b1d3569a8a31,6ea5ebb3cd,2020-09-09 17:57:47.466000,d69f210b0e0fda1,19200,672,1,credit,re_5290121312afc98,credit_card
badf75e9760a,3713b627af,2020-09-09 17:56:46.760000,8164dd9e3d9a51a,2990,65,1,credit,re_6393dbeacbfd801,credit_card
24d1a3f91bb2,9009ab2a35,2020-09-09 12:28:41.974000,707f3fa3d265b9e,194,0,2,credit,re_4b501c2152920ed,credit_card
67ca28729f33,9009ab2a35,2020-09-09 12:28:41.974000,707f3fa3d265b9e,194,0,3,credit,re_4b501c2152920ed,credit_card
dde3f22f093a,9009ab2a35,2020-09-09 12:28:41.974000,707f3fa3d265b9e,194,0,1,credit,re_4b501c2152920ed,credit_card
fd6186d027ff,9009ab2a35,2020-09-09 12:28:41.975000,707f3fa3d265b9e,509,315,1,credit,re_d1913fed79910b2,credit_card
cb90067d5e08,9009ab2a35,2020-09-09 12:28:41.974000,707f3fa3d265b9e,10731,0,2,credit,re_f95380e46801ce1,credit_card
2c4db120fd2f,9009ab2a35,2020-09-09 12:28:41.974000,707f3fa3d265b9e,10731,0,1,credit,re_f95380e46801ce1,credit_card
23123567922e,9009ab2a35,2020-09-09 12:28:41.974000,707f3fa3d265b9e,10731,0,3,credit,re_f95380e46801ce1,credit_card
a0801a8c2cf2,9009ab2a35,2020-09-09 12:28:41.975000,707f3fa3d265b9e,508,314,3,credit,re_d1913fed79910b2,credit_card
7cdd6515d1e2,9009ab2a35,2020-09-09 12:28:41.975000,707f3fa3d265b9e,508,314,2,credit,re_d1913fed79910b2,credit_card
4a308833475c,e0dc798ba7,2020-09-09 17:56:19.444000,66e1ab77e18b7ac,4808,116,1,credit,re_738496c2c197632,credit_card
1611650850a6,e0dc798ba7,2020-09-09 17:56:19.445000,66e1ab77e18b7ac,4808,121,3,credit,re_738496c2c197632,credit_card
f202c1345375,e0dc798ba7,2020-09-09 17:56:19.445000,66e1ab77e18b7ac,4808,121,2,credit,re_738496c2c197632,credit_card
01ac6290b805,e0dc798ba7,2020-09-09 17:56:19.445000,66e1ab77e18b7ac,4808,121,4,credit,re_738496c2c197632,credit_card
c07fd592b194,e1b9fe533c,2020-09-12 06:02:48.034000,fc0f30121c6ca42,9480,150,,credit,re_afa66597e73a8c5,boleto
c91b04b39aba,5b48b4aff3,2020-09-09 17:55:08.382000,f8d8b554efc5aef,8321,243,2,credit,re_4c3e62a0c0470a1,credit_card
fde015c868c3,5b48b4aff3,2020-09-09 17:55:08.382000,f8d8b554efc5aef,8321,243,3,credit,re_4c3e62a0c0470a1,credit_card
d6f61193b40a,5b48b4aff3,2020-09-09 17:55:08.383000,f8d8b554efc5aef,8321,243,6,credit,re_4c3e62a0c0470a1,credit_card
5651e2b04964,5b48b4aff3,2020-09-09 17:55:08.382000,f8d8b554efc5aef,8321,243,4,credit,re_4c3e62a0c0470a1,credit_card
168489134248,5b48b4aff3,2020-09-09 17:55:08.382000,f8d8b554efc5aef,8319,243,1,credit,re_4c3e62a0c0470a1,credit_card
394662395b8b,5b48b4aff3,2020-09-09 17:55:08.383000,f8d8b554efc5aef,8321,243,9,credit,re_4c3e62a0c0470a1,credit_card
be42bb8cb459,5b48b4aff3,2020-09-09 17:55:08.383000,f8d8b554efc5aef,8321,243,11,credit,re_4c3e62a0c0470a1,credit_card
4e9b60d06197,5b48b4aff3,2020-09-09 17:55:08.383000,f8d8b554efc5aef,8321,243,12,credit,re_4c3e62a0c0470a1,credit_card
d2bd2c0697c8,5b48b4aff3,2020-09-09 17:55:08.383000,f8d8b554efc5aef,8321,243,10,credit,re_4c3e62a0c0470a1,credit_card
e5907452ca9b,5b48b4aff3,2020-09-09 17:55:08.383000,f8d8b554efc5aef,8321,243,8,credit,re_4c3e62a0c0470a1,credit_card
2b59ff4d1d8d,5b48b4aff3,2020-09-09 17:55:08.383000,f8d8b554efc5aef,8321,243,7,credit,re_4c3e62a0c0470a1,credit_card
16bd90c76dba,5b48b4aff3,2020-09-09 17:55:08.382000,f8d8b554efc5aef,8321,243,5,credit,re_4c3e62a0c0470a1,credit_card
96e79331ce94,b113bd6739,2020-09-09 18:00:09.529000,627c076cfa7de29,9821,172,1,credit,re_40de3a057844a30,credit_card
c4683f79a2dd,9bc22d8639,2020-09-10 08:07:18.516000,fc0f30121c6ca42,13900,150,,credit,re_afa66597e73a8c5,boleto
284dc06740eb,bdf74bf200,2020-09-10 08:07:21.382000,64d8741e09ba8ee,9983,130,,credit,re_53c0c4f1441f75f,boleto
3329a58bc6af,48d15e487d,2020-09-10 08:21:59.104000,39ce9e85982b180,52395,250,,credit,re_e7736cd5be34e73,boleto
4a652eb590c4,85d65dbed7,2020-09-09 17:55:33.433000,fe3f48f88f15d46,15255,404,1,credit,re_f42c75c16722e84,credit_card
677e5fafc715,bec64a1df1,2020-09-11 06:22:42.213000,47a44233dda03cc,20000,220,,credit,re_ddd13a76a087790,boleto
0ef2dc273764,36f4e7b9bd,2020-09-15 08:27:34.489000,274ae83f1280599,7821,198,,credit,re_4a34057f1e1d5ef,boleto
ab879a5b2f2b,36f4e7b9bd,2020-09-15 08:27:34.489000,274ae83f1280599,630,0,,credit,re_5f003221ceaa703,boleto
895e66ffcc70,36f4e7b9bd,2020-09-15 08:27:34.489000,274ae83f1280599,539,0,,credit,re_683b0ee6eff3c2f,boleto
93ff27b06a31,1764b5dec6,2020-09-09 17:57:01.520000,10c33d344710b96,10480,240,1,credit,re_5124dfe36e8d301,credit_card
f5acebbe3c0c,92f1283faa,2020-09-10 08:21:53.230000,fb65ad8176b5aba,2940,299,,credit,re_15f65d0811369f3,boleto
702f71d1cdf3,e0040055c8,2020-09-11 06:22:42.577000,72e1a779fd75fe4,3999,210,,credit,re_ecadd6ede4c0da7,boleto
b91b4fed68d2,acd57c7764,2020-09-09 19:24:03.176000,7b6ba63374559d5,3225,73,1,credit,re_2e11df9a9699c33,credit_card
4494a6a5d966,acd57c7764,2020-09-09 19:24:03.176000,7b6ba63374559d5,3224,77,3,credit,re_2e11df9a9699c33,credit_card
fbf3aa7feba2,acd57c7764,2020-09-09 19:24:03.176000,7b6ba63374559d5,3224,77,2,credit,re_2e11df9a9699c33,credit_card
491b875ca4a8,0c4061a69d,2020-09-09 18:00:09.687000,a9810f693ffb8e6,10475,397,1,credit,re_e931d2a819083ab,credit_card
ee4a6c7d9b2a,0c4061a69d,2020-09-09 18:00:09.687000,a9810f693ffb8e6,10475,397,3,credit,re_e931d2a819083ab,credit_card
2c6928b02047,0c4061a69d,2020-09-09 18:00:09.687000,a9810f693ffb8e6,10475,397,4,credit,re_e931d2a819083ab,credit_card
8391e83aee50,0c4061a69d,2020-09-09 18:00:09.687000,a9810f693ffb8e6,10475,397,2,credit,re_e931d2a819083ab,credit_card
9dfa1e9be49b,f73d08f5e0,2020-09-09 17:55:05.730000,d19e7f6bea6d0f3,10388,186,2,credit,re_299101f5b02464b,credit_card
0234e9334d73,f73d08f5e0,2020-09-09 17:55:05.730000,d19e7f6bea6d0f3,10388,186,1,credit,re_299101f5b02464b,credit_card
196c53c0a777,1137f1483b,2020-09-09 17:55:16.299000,f3bdbd48b367ea3,6200,188,1,credit,re_09cd7bc84fd2a9d,credit_card
69cde7caf4b8,f51e2e5f87,2020-09-11 06:03:55.097000,8b4242df4b2dee5,6990,300,,credit,re_4345ffa054e86ba,boleto
f2529ad81521,8b2d344c29,2020-09-09 17:56:52.217000,8164dd9e3d9a51a,2990,65,1,credit,re_6393dbeacbfd801,credit_card
75a05ae7f5b9,e28f035ddc,2020-09-10 08:21:59.697000,650409ddbd7025c,12413,300,,credit,re_bb5dcb611b15090,boleto
5e6deaf0cf4e,99a65062d2,2020-09-09 17:57:50.582000,479f26e6d954c51,31930,1210,1,credit,re_eb693a74b186883,credit_card
a7227a262dff,c0cb6760a2,2020-09-09 12:59:25.110000,707f3fa3d265b9e,43,0,1,credit,re_4b501c2152920ed,credit_card
1c4ebfb3e377,c0cb6760a2,2020-09-09 12:59:25.110000,707f3fa3d265b9e,235,192,1,credit,re_d1913fed79910b2,credit_card
5274b82edd19,c0cb6760a2,2020-09-09 12:59:25.110000,707f3fa3d265b9e,7722,0,1,credit,re_f95380e46801ce1,credit_card
9b94e4db0c2f,a0ba3a3b88,2020-09-16 07:02:45.605000,47a44233dda03cc,14000,220,,credit,re_ddd13a76a087790,boleto
1fcf5ca0ef59,2513ecbac2,2020-09-09 17:55:27.562000,10c33d344710b96,1990,46,1,credit,re_5124dfe36e8d301,credit_card
7b0b507ed9ef,d4c8ccc920,2020-09-09 17:58:30.123000,9b0609add3fd7f1,3875,111,3,credit,re_4383498bae326c0,credit_card
b5064a14741a,d4c8ccc920,2020-09-09 17:58:30.122000,9b0609add3fd7f1,3875,108,1,credit,re_4383498bae326c0,credit_card
e9b7a81bd7bf,d4c8ccc920,2020-09-09 17:58:30.123000,9b0609add3fd7f1,3875,111,2,credit,re_4383498bae326c0,credit_card
7987eb908105,d4c8ccc920,2020-09-09 17:58:30.124000,9b0609add3fd7f1,3875,111,6,credit,re_4383498bae326c0,credit_card
dbe0189b6809,d4c8ccc920,2020-09-09 17:58:30.124000,9b0609add3fd7f1,3875,111,5,credit,re_4383498bae326c0,credit_card
f25d1d74637b,d4c8ccc920,2020-09-09 17:58:30.123000,9b0609add3fd7f1,3875,111,4,credit,re_4383498bae326c0,credit_card
ccd56f152c06,c1c504d314,2020-09-09 17:58:56.978000,79f540698e2d78a,5500,208,1,credit,re_9caf8863fdac462,credit_card
625fd736855e,c1c504d314,2020-09-09 18:00:26.133000,79f540698e2d78a,-5500,-208,,refund,re_9caf8863fdac462,credit_card
c58e343b5095,fcee3fb412,2020-09-10 14:08:51.436000,5fbe4ac1b6b1c3b,-11687,-346,,refund,re_0468dcf02f15afd,credit_card
a209fc1d984d,fcee3fb412,2020-09-09 17:40:16.697000,5fbe4ac1b6b1c3b,975,29,10,credit,re_0468dcf02f15afd,credit_card
28d3442de89d,fcee3fb412,2020-09-09 17:40:16.696000,5fbe4ac1b6b1c3b,975,29,3,credit,re_0468dcf02f15afd,credit_card
0160e3b2c7b8,fcee3fb412,2020-09-09 17:40:16.696000,5fbe4ac1b6b1c3b,975,29,4,credit,re_0468dcf02f15afd,credit_card
785f0fbaaafe,fcee3fb412,2020-09-09 17:40:16.697000,5fbe4ac1b6b1c3b,975,29,9,credit,re_0468dcf02f15afd,credit_card
7ad0857953d2,fcee3fb412,2020-09-09 17:40:16.696000,5fbe4ac1b6b1c3b,975,29,5,credit,re_0468dcf02f15afd,credit_card
6c5806d4f22d,fcee3fb412,2020-09-09 17:40:16.697000,5fbe4ac1b6b1c3b,975,29,8,credit,re_0468dcf02f15afd,credit_card
6d7cfd07dc2f,fcee3fb412,2020-09-09 17:40:16.696000,5fbe4ac1b6b1c3b,975,29,7,credit,re_0468dcf02f15afd,credit_card
a3a8b6ada153,fcee3fb412,2020-09-09 17:40:16.695000,5fbe4ac1b6b1c3b,962,27,1,credit,re_0468dcf02f15afd,credit_card
b2fa96fd2a84,fcee3fb412,2020-09-09 17:40:16.697000,5fbe4ac1b6b1c3b,975,29,12,credit,re_0468dcf02f15afd,credit_card
613bb4afdb76,fcee3fb412,2020-09-09 17:40:16.696000,5fbe4ac1b6b1c3b,975,29,2,credit,re_0468dcf02f15afd,credit_card
14db40014e81,fcee3fb412,2020-09-09 17:40:16.696000,5fbe4ac1b6b1c3b,975,29,6,credit,re_0468dcf02f15afd,credit_card
84e53a458ce9,fcee3fb412,2020-09-09 17:40:16.697000,5fbe4ac1b6b1c3b,975,29,11,credit,re_0468dcf02f15afd,credit_card
3caf332045b0,150d70fba1,2020-09-12 07:04:48.217000,46654821b0e8ca5,8147,259,,credit,re_a4611bb492eec6b,boleto
b93122bbad48,60000e39bb,2020-09-10 08:21:58.148000,fe3f48f88f15d46,17443,230,,credit,re_f42c75c16722e84,boleto
6c9d97856bc8,f8f87b6122,2020-09-09 17:55:29.787000,37239241e7d02d2,66650,2333,1,credit,re_16acdfc8c58c898,credit_card
6b7edbd49f06,f8f87b6122,2020-09-09 17:55:29.787000,37239241e7d02d2,66650,2333,2,credit,re_16acdfc8c58c898,credit_card
5c8fe4e2d0f4,27b0f6bcf8,2020-09-09 17:52:42.582000,e7569f550abcdb2,3753,103,2,credit,re_fe4533c2138a517,credit_card
4355ff77a1ef,27b0f6bcf8,2020-09-09 17:52:42.582000,e7569f550abcdb2,3749,99,1,credit,re_fe4533c2138a517,credit_card
4f5bb0fee5fd,27b0f6bcf8,2020-09-09 17:52:42.583000,e7569f550abcdb2,3753,103,3,credit,re_fe4533c2138a517,credit_card
